gene	ave_AAI
group_1490	91.3627603583805
group_5562	96.47487828790415
group_2339	94.03304509963414
atsA_2	91.45548887225802
group_683	86.9270722911847
group_1598	93.03144586891389
group_874	95.19665220804673
group_2187	86.26611694295275
atsA	96.78066423700957
group_602	92.83094938916852
group_2186	91.0479974198912
atsA_4	90.27872625612262
atsA_5	94.38444440127226
group_1244	93.45063451643338
group_1306	93.23591774033753
group_2746	94.65922547237481
group_5960	91.6180124479731
group_6202	92.99207202433466
atsA_6	96.0452817209129
group_9437	97.8526338548667
group_1307	93.93980189648657
group_3039	99.57434976712203
group_3050	99.75231737571761
group_11977	92.90694058950866
group_15864	98.5031340963155
group_2256	92.26591429347003
group_4350	97.76417320489274
atsA_1	95.42036583030146
group_6656	99.48452629931464
group_6657	91.8723154149775
group_6658	100
group_1911	97.84743052827923
group_16973	97.91004377396419
group_20304	100
group_20308	100
group_20309	99.16664841032696
group_7683	92.74511198072032
group_7685	95.63504701720572
group_7687	96.96303108254449
atsA_7	92.25514959582394
group_20521	100
atsA_9	90.08300086934001
group_20534	100
group_20541	100
group_20553	100
group_20554	100
group_9400	100
group_9401	95.39640635001138
group_9402	94.90227667103426
atsA_3	95.07132245641154
group_9406	96.70743060359254
group_9407	96.89383052807257
group_9517	100
group_2427	94.16448692611722
group_5361	95.1896557215743
group_8343	97.67219519094294
group_9704	99.3468813457406
group_9705	100
group_9706	99.03858434273016
group_9711	99.6773282652822
group_9712	99.67070057446342
group_9714	99.34095873799806
group_9716	99.06951956589432
group_9717	100
group_11296	99.0916487689072
group_6395	98.19723679507483
group_9727	100
group_17173	99.62545174586613
group_17175	99.62887860889016
group_17183	100
group_17192	99.650774204825
betC	100
group_17345	99.64529694937043
group_17346	99.62579871051136
group_17347	99.4522254014359
group_17348	99.33567403430649
group_17351	99.49585127334569
group_17353	100
group_17354	99.60757071095084
group_20518	99.47419647377662
group_17338	100
group_17339	100
group_4627	94.18248142144468
group_9063	100
group_10050	97.20743659144225
group_10053	95.18146934403498
group_10058	98.15572221609172
group_16967	94.51211201920599
group_4165	88.43280680617478
group_6120	94.0810050489165
group_10095	100
group_10097	100
